scenario,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown
1,2.988201795437617,2.988201795437617,24.34986753332892,0.24069097761898148,-19.36331261707868
2,-25.581090090086512,-25.581090090086512,24.851085252760623,-1.0580251405480712,-29.624036265260536
3,8.808063898959762,8.808063898959762,20.303895729756537,0.5175044753634999,-13.72721632879568
4,4.656583553263882,4.656583553263882,20.240077007781256,0.327344187992388,-14.41986928579006
5,-5.917866091674517,-5.917866091674517,21.02903785021172,-0.1865039313085643,-21.85023998033883
6,23.98424370122052,23.98424370122052,27.56178094547735,0.9215531331612643,-17.574138197458378
7,60.955105822110745,60.955105822110745,20.359177450521347,2.4395528446891506,-7.501644065257633
8,-12.584332138910925,-12.584332138910925,21.466984744884783,-0.5198951299687022,-25.41105454756917
9,28.707725553778406,28.707725553778406,21.222294963030727,1.2952111199536063,-14.64110624136053
10,33.54791778259776,33.54791778259776,21.064693580234568,1.4770001584163754,-11.29187325079542
11,20.07383681551613,20.07383681551613,23.00269878378275,0.9097963513886713,-14.013250702719965
12,12.640050127599789,12.640050127599789,21.49116921862337,0.6593586126828538,-20.07422622977578
13,-14.78259652957612,-14.78259652957612,17.670435711818023,-0.8168773606258908,-24.779516290090477
14,12.272157373299052,12.272157373299052,23.10522860570591,0.6155208194034748,-14.27233736885295
15,-17.225696164525182,-17.225696164525182,23.3541219916655,-0.6916707062293885,-28.099696537922476
16,26.091469105225308,26.091469105225308,17.612822330779867,1.4045928080605254,-13.622585573749788
17,-0.025097327042888917,-0.025097327042888917,22.483347985218693,0.1104645946125535,-25.51127864109686
18,9.401513730110246,9.401513730110246,25.37090360051956,0.4858860916082722,-17.579965187507085
19,20.9681190048302,20.9681190048302,19.489202649418562,1.0738545671246027,-8.403808788216924
20,2.0971307134638018,2.0971307134638018,20.265077016240816,0.20353556120160088,-16.01033262648812
21,24.725421946809647,24.725421946809647,21.816289989740515,1.119774924859608,-15.893355162799153
22,-7.485250056054138,-7.485250056054138,22.601116960494313,-0.23003518783242102,-20.452612821155075
23,4.664569192616375,4.664569192616375,20.94713578078327,0.32212877833732007,-15.696187421439136
24,-17.480163324759033,-17.480163324759033,20.1661115655293,-0.8510094255638976,-19.03925700741077
25,23.90304883903298,23.90304883903298,19.86357840571048,1.1781659083799392,-9.328209179156486
26,20.146075326800883,20.146075326800883,19.756617312722273,1.027802898098263,-15.127251203058043
