scenario,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown
146,-28.884601521795695,-28.884601521795695,20.495647159737274,-1.5600646828973088,-33.75086072833911
147,20.481084842973907,20.481084842973907,22.787390304830097,0.931576985216267,-20.405257942130593
148,-30.830711619514982,-30.830711619514982,20.94039691907303,-1.6544828090476176,-38.19652738424951
149,-12.119544013716732,-12.119544013716732,23.508716377718468,-0.43214652989231744,-30.433846025032484
150,-1.413709606648439,-1.413709606648439,21.318450559542367,0.039138959407283645,-24.875380490164904
151,4.772629677983398,4.772629677983398,19.76580971218803,0.3344553469555452,-19.12756908511249
152,33.11189356561797,33.11189356561797,20.41673054381038,1.5036830211281433,-21.833020867477593
153,14.320084471885398,14.320084471885398,21.786675844712118,0.723194244141212,-14.385122813637743
154,5.195836708771795,5.195836708771795,20.110369285356875,0.3519176525522389,-10.901601352335785
155,25.79591975968407,25.79591975968407,21.604112921835696,1.1703335906708858,-19.338261130758642
156,21.594605716962036,21.594605716962036,19.802608017623268,1.0861987167130802,-10.461689028054758
157,12.033945731982932,12.033945731982932,20.91151580523813,0.6475427822838044,-19.39714239792613
158,-7.1640846226106785,-7.1640846226106785,21.13842442773313,-0.246402166021017,-20.596287495162517
159,-5.036097084381619,-5.036097084381619,21.528600103760212,-0.1328035451937087,-16.018294784331296
160,-2.8324576723919193,-2.8324576723919193,22.07349367518057,-0.020558780843203808,-22.32309356619352
161,-15.320316971795478,-15.320316971795478,19.131490166703298,-0.7736712199388274,-29.794277959544374
162,12.798589033599384,12.798589033599384,19.939435495915877,0.7033793900001196,-15.041312948137989
163,64.99797635002216,64.99797635002216,20.278980144811015,2.572592865229902,-6.952105892970946
164,8.918299088787762,8.918299088787762,20.91848312706821,0.5126476176956205,-13.887138164703206
165,21.07894289295167,21.07894289295167,20.83136028906571,1.022447148922236,-20.290223882638003
166,46.66311123014684,46.66311123014684,21.665002538338715,1.876519216480711,-11.864452077076868
167,-3.89486662580093,-3.89486662580093,21.780290926630794,-0.07393891741435867,-20.586785153381484
168,22.320419296442594,22.320419296442594,21.05723687052542,1.0619902701196902,-18.732280422747245
169,-0.6443597601834994,-0.6443597601834994,21.879138907867997,0.0791398436658838,-22.606347559008693
170,16.0779554696012,16.0779554696012,19.06462028034756,0.8772090487637493,-14.95968196138458
171,4.212639919493011,4.212639919493011,21.083780157654672,0.3007957478543378,-19.036263796725578
172,-0.3299166510168927,-0.3299166510168927,21.844464297951916,0.09344489225552602,-13.86115812948519
173,29.82336185189216,29.82336185189216,22.358211139247018,1.2793641971790808,-13.939162291107843
174,46.666941878485524,46.666941878485524,19.713942227073268,2.042293558951783,-19.796189965332346
175,13.778268702960773,13.778268702960773,20.720357903023118,0.7261053091649459,-17.482796741601458
176,55.116545638186444,55.116545638186444,19.964374519085144,2.300127540577235,-9.432226528291217
177,38.73875810690637,38.73875810690637,22.47956537567194,1.5692671496307908,-25.20168934627245
178,21.373943147694252,21.373943147694252,21.287299269976504,1.016393939004807,-19.568423385313807
179,10.33239165916826,10.33239165916826,20.76608171787288,0.5769631203715536,-17.475580655147116
180,23.572343751424985,23.572343751424985,20.307409328525583,1.1440289897391749,-23.285684423148634
181,39.09179330947603,39.09179330947603,20.283829807116856,1.7285944372643112,-9.624627233753595
182,10.03331224961066,10.03331224961066,22.27678547344368,0.5403585167807772,-20.89540874951009
183,11.679055439725738,11.679055439725738,18.988844388207585,0.676434156425483,-11.624746244816464
184,43.86530543892984,43.86530543892984,20.679842623708616,1.86288915034326,-18.28054141298828
185,-23.532724361692857,-23.532724361692857,20.83517387074228,-1.1833252212787084,-34.01574496518334
186,-11.026265733562447,-11.026265733562447,20.9734900304067,-0.45249252331819523,-25.058663284671784
187,15.894716064035986,15.894716064035986,21.61885134299019,0.7899417557472977,-11.179655650740127
188,-24.96782214621065,-24.96782214621065,21.38901846605945,-1.2356478292386863,-27.44733983734735
189,-19.47411843050918,-19.47411843050918,21.546425732128462,-0.8973025145838961,-25.51215013173892
190,23.83266577060368,23.83266577060368,22.962746639350655,1.0460041546840593,-20.492086839257382
191,-8.440008717870962,-8.440008717870962,20.784221322531884,-0.32061346062285906,-20.623666099458777
192,-19.753774764155075,-19.753774764155075,20.019665131574367,-0.9990119429514351,-26.993659759872234
193,14.057388908997304,14.057388908997304,20.498918563171454,0.7438593111579105,-13.445405078300936
194,4.643716142646581,4.643716142646581,20.219793212647776,0.3252270829626422,-17.204139105885677
195,56.18090224961705,56.18090224961705,22.878908209952225,2.0643044920213405,-10.594876043097257
196,2.0238119478733996,2.0238119478733996,19.727156734523422,0.20000395591951847,-17.823005031120516
197,9.123031252753911,9.123031252753911,21.440619697562703,0.5142776679390907,-23.46846184662979
198,-23.963135236815504,-23.963135236815504,20.323101951901084,-1.2460390164952952,-41.75484361062177
199,16.623515457847283,16.623515457847283,21.596227091476763,0.819720393811082,-14.673120408038203
200,30.938150216278903,30.938150216278903,20.10914474914223,1.4410904899034582,-11.683272437649524
201,7.607420602293136,7.607420602293136,21.045668047017212,0.45336794318687984,-13.914383252544592
202,22.950608628892113,22.950608628892113,22.53541849130498,1.029391674669971,-13.500620989767235
203,3.3555147625180526,3.3555147625180526,19.89805692576425,0.2648676793253446,-21.32895374935878
204,-1.95644138840253,-1.95644138840253,19.905762672625173,3.4021620938832895e-05,-23.495482071307695
205,81.7574180196025,81.7574180196025,20.484907759315625,3.0219535817328977,-12.483719166980274
206,-0.6832522022478971,-0.6832522022478971,21.745089227017203,0.07690161035387018,-17.198069565429947
207,11.4713256791382,11.4713256791382,19.024374713506113,0.6655887767557352,-16.406816364175665
208,21.73388182621774,21.73388182621774,20.405282163399878,1.065781080735448,-17.012976557504864
209,-12.273050747305081,-12.273050747305081,20.625506254878125,-0.5318633538693945,-28.965017683703902
210,-17.377070997316213,-17.377070997316213,21.820113045215656,-0.7659477754273427,-28.428183618669216
211,-10.824449255174706,-10.824449255174706,20.46700573028741,-0.45791023962422667,-32.440236712452275
212,29.99556809834203,29.99556809834203,19.41414031033063,1.448479520061791,-13.305479729827086
213,20.42772334289722,20.42772334289722,20.128044566681147,1.0241118582111626,-14.760807366024206
214,24.98561643742887,24.98561643742887,20.58463466933349,1.1866195996347113,-11.652030716233003
215,10.769655347559603,10.769655347559603,22.724965385528833,0.5631566062108232,-22.484731927239523
