Date,WTI,XLE,XOM,CVX,IEF,SHY,SPY
2000-08-23,32.04999923706055,17.05388069152832,18.927623748779297,17.26889991760254,,,95.77059936523438
2000-08-24,31.6299991607666,16.68523406982422,18.5776309967041,16.746706008911133,,,96.0682144165039
2000-08-25,32.04999923706055,16.733308792114258,18.5776309967041,16.880290985107422,,,96.02855682373047
2000-08-28,32.869998931884766,16.797428131103516,18.54962730407715,16.89243507385254,,,96.35590362548828
2000-08-29,32.720001220703125,16.813451766967773,18.483131408691406,16.710281372070312,,,96.37578582763672
2000-08-30,33.400001525878906,16.669200897216797,18.224138259887695,16.5372257232666,,,95.45315551757812
2000-08-31,33.099998474121094,16.605087280273438,18.28713035583496,16.421852111816406,,,96.72296142578125
2000-09-01,33.380001068115234,16.773387908935547,18.47962760925293,16.60704803466797,,,96.82221984863281
2000-09-05,33.79999923706055,16.773387908935547,18.675621032714844,16.698131561279297,,,96.04835510253906
2000-09-06,34.95000076293945,17.142026901245117,18.591623306274414,17.123178482055664,,,94.9571533203125
2000-09-07,35.33000183105469,17.0618839263916,18.759626388549805,17.159605026245117,,,95.77059936523438
2000-09-08,33.70000076293945,16.861543655395508,18.703617095947266,16.8438720703125,,,95.11583709716797
2000-09-11,35.099998474121094,17.398479461669922,19.036113739013672,17.353919982910156,,,94.9770278930664
2000-09-12,34.20000076293945,17.374441146850586,19.207618713378906,17.208175659179688,,,94.28258514404297
2000-09-13,33.79999923706055,17.0859317779541,19.22161865234375,17.220333099365234,,,94.53056335449219
2000-09-14,34.099998474121094,17.0378475189209,19.099117279052734,17.01691246032715,,,95.00680541992188
2000-09-15,35.849998474121094,17.48175048828125,19.711605072021484,17.52392578125,,,92.9282455444336
2000-09-18,36.880001068115234,17.513946533203125,20.079092025756836,17.487499237060547,,,92.07291412353516
2000-09-19,36.5,17.047117233276367,19.711605072021484,17.11103057861328,,,92.90837097167969
2000-09-20,37.5,16.70907974243164,19.3756160736084,16.904577255249023,,,92.22210693359375
2000-09-21,33.95000076293945,16.580293655395508,19.3336124420166,16.576692581176758,,,90.81986236572266
2000-09-22,32.650001525878906,16.47566032409668,19.3756160736084,16.370237350463867,,,92.47074890136719
2000-09-25,31.56999969482422,16.226154327392578,19.232114791870117,16.087890625,,,91.81436920166016
2000-09-26,31.5,16.612489700317383,19.403615951538086,16.18808364868164,,,90.6408462524414
2000-09-27,31.5,16.926389694213867,19.99161148071289,16.60097885131836,,,91.1181869506836
2000-09-28,30.299999237060547,16.862009048461914,19.967100143432617,16.34899139404297,,,92.2917251586914
2000-09-29,30.860000610351562,16.878093719482422,19.960102081298828,16.564550399780273,,,91.41658020019531
2000-10-02,32.150001525878906,17.224191665649414,20.481590270996094,16.8438720703125,,,91.55577850341797
2000-10-03,32.06999969482422,17.216144561767578,20.34160041809082,16.880290985107422,,,90.70050048828125
2000-10-04,31.5,16.70907974243164,19.99161148071289,16.479537963867188,,,91.45632934570312
2000-10-05,30.649999618530273,16.68492889404297,19.977602005004883,16.61311912536621,,,91.77455139160156
2000-10-06,30.850000381469727,16.612489700317383,20.033601760864258,16.3945255279541,,,89.78548431396484
2000-10-09,31.8799991607666,16.87004280090332,20.41160011291504,16.710281372070312,,,89.1092529296875
2000-10-10,33.150001525878906,17.248340606689453,20.90157699584961,16.941011428833008,,,87.63735961914062
2000-10-11,33.150001525878906,17.40930938720703,20.99958038330078,16.831722259521484,,,86.90143585205078
2000-10-12,36.099998474121094,17.674915313720703,21.083576202392578,16.965301513671875,,,84.73335266113281
2000-10-13,35.04999923706055,16.99881935119629,20.271591186523438,16.370237350463867,,,87.55780792236328
2000-10-16,33.099998474121094,16.837852478027344,19.669612884521484,15.933052062988281,,,87.95560455322266
2000-10-17,32.95000076293945,16.845909118652344,19.669612884521484,16.103071212768555,,,85.76766204833984
2000-10-18,33.54999923706055,16.620540618896484,19.38961410522461,16.030202865600586,,,85.44941711425781
2000-10-19,32.95000076293945,16.701021194458008,19.3756160736084,15.993781089782715,,,88.67162322998047
2000-10-20,34.29999923706055,17.03102684020996,19.809595108032227,16.21236228942871,,,89.04957580566406
2000-10-23,33.72999954223633,16.757369995117188,19.949602127075195,16.042354583740234,,,89.44739532470703
2000-10-24,33.369998931884766,16.47566032409668,19.43160629272461,15.981624603271484,,,88.85064697265625
2000-10-25,32.959999084472656,16.073230743408203,19.52960968017578,15.835908889770508,,,86.76221466064453
2000-10-26,33.75,16.14566993713379,19.655603408813477,15.933052062988281,,,87.00082397460938
2000-10-27,32.70000076293945,16.032989501953125,19.613609313964844,15.605159759521484,,,88.6517562866211
2000-10-30,32.810001373291016,16.30665397644043,20.033601760864258,15.860183715820312,,,89.44739532470703
2000-10-31,32.689998626708984,16.4193172454834,19.977602005004883,15.957347869873047,,,90.9889144897461
2000-11-01,33.20000076293945,16.950525283813477,20.621597290039062,16.09092903137207,,,90.68058013916016
2000-11-02,32.540000915527344,16.354934692382812,19.75360107421875,15.641594886779785,,,90.82977294921875
2000-11-03,32.599998474121094,16.29054832458496,19.599605560302734,15.750885963439941,,,90.87950897216797
2000-11-06,32.86000061035156,16.354934692382812,19.865604400634766,16.042354583740234,,,91.51596069335938
2000-11-07,33.400001525878906,16.483705520629883,19.935592651367188,15.94520092010498,,,91.49610900878906
2000-11-08,33.290000915527344,16.644681930541992,20.31359100341797,16.127357482910156,,,89.4672622680664
2000-11-09,33.95000076293945,16.46761703491211,20.22974395751953,16.20022964477539,,,89.12916564941406
2000-11-10,34.09000015258789,16.515907287597656,20.159414291381836,16.345956802368164,,,86.96102142333984
