,Mean,Median,Std Dev,5th Percentile,25th Percentile,75th Percentile,95th Percentile,Min,Max
total_return,7.972218675356847,5.350659291738291,23.674344377860066,-25.806456943662536,-8.544395947407644,21.924108452607783,49.01303396017069,-45.21078584343431,102.06951168712179
annual_return,7.972218675356847,5.350659291738291,23.674344377860066,-25.806456943662536,-8.544395947407644,21.924108452607783,49.01303396017069,-45.21078584343431,102.06951168712179
annual_volatility,20.898400103218272,20.386424761474714,2.5539304129652605,17.58587290265312,19.06952118567721,22.293900991582326,25.8341757642982,15.821420427056701,32.79825090864007
sharpe_ratio,0.38611147024897347,0.36076516816650017,1.032236877494697,-1.2644207414404105,-0.30375584937274397,1.0756598957947487,2.0852601768188417,-3.011883401155713,3.684439828026383
max_drawdown,-19.533086704774774,-18.096556031985315,7.868201330992879,-34.29145911403338,-24.00923881365439,-13.60025387587695,-9.297914519424701,-47.54835326931518,-6.584351045710561
