management_fee,performance_fee,gross_annual_return,net_annual_return,fee_drag
0,0,5.24620054073075,5.24620054073075,0.0
0,5,5.24620054073075,4.813975223234834,0.43222531749591564
0,10,5.24620054073075,4.3832548415302375,0.8629456992005125
0,15,5.24620054073075,3.9540350156368254,1.2921655250939246
0,20,5.24620054073075,3.5263113759884224,1.7198891647423276
0,25,5.24620054073075,3.1000795634131384,2.1461209773176115
1,0,5.24620054073075,4.199081544118166,1.0471189966125838
1,5,5.24620054073075,3.8368601709868555,1.4093403697438944
1,10,5.24620054073075,3.4756837928644035,1.7705167478663464
1,15,5.24620054073075,3.1155499660456387,2.130650574685111
1,20,5.24620054073075,2.7564562513000546,2.4897442894306954
1,25,5.24620054073075,2.398400213865881,2.847800326864869
2,0,5.24620054073075,3.162339639928846,2.083860900801904
2,5,5.24620054073075,2.850359587506701,2.3958409532240488
2,10,5.24620054073075,2.539140082283242,2.7070604584475078
2,15,5.24620054073075,2.2286796765691452,3.0175208641616047
2,20,5.24620054073075,1.9189769247210497,3.3272236160097
2,25,5.24620054073075,1.610030383139227,3.636170157591523
3,0,5.24620054073075,2.1358723954979064,3.1103281452328435
3,5,5.24620054073075,1.849505019159503,3.396695521571247
3,10,5.24620054073075,1.5637732123096715,3.6824273284210784
3,15,5.24620054073075,1.2786758991379044,3.9675246415928456
3,20,5.24620054073075,0.9942120051374737,4.251988535593276
3,25,5.24620054073075,0.7103804571047201,4.53582008362603
4,0,5.24620054073075,1.1195783852713692,4.126622155459381
4,5,5.24620054073075,0.8520595808618747,4.394140959868875
4,10,5.24620054073075,0.5850940588747022,4.661106481856048
4,15,5.24620054073075,0.3186809612663044,4.9275195794644455
4,20,5.24620054073075,0.05281943091965946,5.1933811098110905
4,25,5.24620054073075,-0.21249138835588433,5.458691929086634
